Track Name,artists,popularity,release_year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
Magnet,Bombay Bicycle Club,33,2009,False,0.538,0.856,4,-5.823,1,0.0448,0.000677,0.707,0.0678,0.316,139.902,290653,4,0
Dust On The Ground,Bombay Bicycle Club,34,2009,False,0.447,0.917,7,-5.73,1,0.0447,0.00219,0.0999,0.294,0.315,132.603,264080,4,6
Algorithms,Kasabian,45,2023,False,0.454,0.875,7,-3.769,1,0.065,0.295,0.0,0.571,0.326,122.966,189268,4,6
Bogus Operandi,The Hives,45,2023,True,0.354,0.994,11,-1.58,0,0.182,0.0228,3.28e-05,0.318,0.0986,144.978,223785,4,4
Space Cowboy,flipturn,53,2022,False,0.479,0.497,0,-6.725,1,0.0282,0.0557,0.544,0.262,0.14,139.035,246773,4,0
Sad Disco,flipturn,59,2022,True,0.722,0.418,9,-8.274,1,0.0319,0.00461,0.76,0.127,0.134,123.028,227213,4,0
In Consideration,flipturn,40,2022,False,0.383,0.488,11,-8.48,1,0.0277,0.126,0.00946,0.108,0.114,135.271,283840,3,6
Jumpsuit,Twenty One Pilots,69,2018,False,0.62,0.61,11,-8.329,0,0.0373,0.00849,0.162,0.205,0.235,127.052,238560,4,6
The Narcissist,Blur,56,2023,False,0.563,0.908,1,-5.318,0,0.034,0.0363,3.14e-05,0.571,0.524,127.969,245225,4,6
Mountains At Midnight,Royal Blood,3,2023,False,0.528,0.959,4,-4.535,1,0.103,0.00068,0.00757,0.295,0.504,136.034,187167,4,6
Movin' On,Tom Meighan,24,2023,False,0.642,0.759,11,-5.348,1,0.043,0.00162,0.00082,0.0894,0.365,120.022,193800,4,0
Softly,Arlo Parks,56,2022,False,0.739,0.522,1,-10.876,1,0.0355,0.0174,0.00608,0.199,0.214,110.0,188781,4,0
Fade Into You,Mazzy Star,83,1993,False,0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,295600,3,6
Never Going Under,Circa Waves,53,2023,False,0.472,0.943,9,-2.81,1,0.108,0.00305,0.0,0.505,0.561,149.953,134252,4,6
Do You Wanna Talk,Circa Waves,57,2023,False,0.701,0.869,6,-4.813,0,0.0503,0.0848,0.000778,0.287,0.903,100.066,146393,4,6
Hell On Earth,Circa Waves,31,2023,False,0.595,0.815,8,-3.699,1,0.0309,0.00146,0.0746,0.0697,0.658,138.029,165904,4,6
Jacqueline,Circa Waves,33,2020,False,0.661,0.842,7,-4.502,1,0.0889,0.0638,0.0,0.0945,0.625,117.967,162534,4,6
I'm Throwing My Arms Around Paris,Morrissey,0,2009,False,0.565,0.801,11,-5.363,0,0.0298,0.00712,0.0,0.257,0.733,120.017,150827,4,6
Everyday Is Like Sunday - 2011 Remaster,Morrissey,61,1988,False,0.6,0.869,0,-5.126,1,0.0302,0.00345,0.441,0.311,0.56,117.064,215267,4,0
Leader of the Pack,Wunderhorse,56,2022,False,0.506,0.967,1,-4.464,0,0.0635,6.05e-05,0.195,0.0921,0.592,95.354,183467,4,4
Butterflies,Wunderhorse,49,2022,False,0.431,0.642,11,-7.567,1,0.0288,0.00159,0.699,0.192,0.17,141.75,205293,4,0
Teal,Wunderhorse,53,2022,False,0.439,0.883,9,-7.616,1,0.36,0.438,0.0175,0.0949,0.375,158.714,191120,4,5
